ACPs;cod_mun
ARACAJU;2804003
ARACAJU;2806701
ARACAJU;2804805
ARACAJU;2800308
ARACAJU;2800605
ARACAJU;2803609
BELEM;1501501
BELEM;1501402
BELEM;1501303
BELEM;1500800
BELEM;1504422
BELO HORIZONTE;3154804
BELO HORIZONTE;3154606
BELO HORIZONTE;3153905
BELO HORIZONTE;3153608
BELO HORIZONTE;3149309
BELO HORIZONTE;3144805
BELO HORIZONTE;3141108
BELO HORIZONTE;3140704
BELO HORIZONTE;3140159
BELO HORIZONTE;3137601
BELO HORIZONTE;3130101
BELO HORIZONTE;3129806
BELO HORIZONTE;3124104
BELO HORIZONTE;3156700
BELO HORIZONTE;3117876
BELO HORIZONTE;3112505
BELO HORIZONTE;3110004
BELO HORIZONTE;3109006
BELO HORIZONTE;3106705
BELO HORIZONTE;3106200
BELO HORIZONTE;3136652
BELO HORIZONTE;3118601
BELO HORIZONTE;3157807
BELO HORIZONTE;3162955
BELO HORIZONTE;3165537
BELO HORIZONTE;3167202
BELO HORIZONTE;3171204
BELO HORIZONTE;3162922
BRASILIA;5200258
BRASILIA;5221858
BRASILIA;5219753
BRASILIA;5217609
BRASILIA;5215603
BRASILIA;5215231
BRASILIA;5212501
BRASILIA;5300108
BRASILIA;5205497
BRASILIA;5208004
CAMPINA GRANDE;2504009
CAMPINA GRANDE;2508307
CAMPINA GRANDE;2512507
CAMPINAS;3537107
CAMPINAS;3509502
CAMPINAS;3556701
CAMPINAS;3512803
CAMPINAS;3556206
CAMPINAS;3519071
CAMPINAS;3520509
CAMPINAS;3524709
CAMPINAS;3531803
CAMPINAS;3552403
CAMPINAS;3536505
CAMPINAS;3545803
CAMPINAS;3533403
CAMPINAS;3501608
CAMPO GRANDE;5002704
CAMPOS DOS GOYTACAZES;3301009
CAXIAS DO SUL;4307906
CAXIAS DO SUL;4305108
CRAJUBAR;2301901
CRAJUBAR;2304202
CRAJUBAR;2307304
CUIABA;5108402
CUIABA;5103403
CURITIBA;4122206
CURITIBA;4120804
CURITIBA;4125506
CURITIBA;4100400
CURITIBA;4119152
CURITIBA;4104006
CURITIBA;4101804
CURITIBA;4107652
CURITIBA;4106902
CURITIBA;4105805
CURITIBA;4104253
CURITIBA;4119509
CURITIBA;4111258
CURITIBA;4104204
FEIRA DE SANTANA;2910800
FLORIANOPOLIS;4206009
FLORIANOPOLIS;4211900
FLORIANOPOLIS;4212304
FLORIANOPOLIS;4202305
FLORIANOPOLIS;4215703
FLORIANOPOLIS;4205407
FLORIANOPOLIS;4216602
FORTALEZA;2307700
FORTALEZA;2304285
FORTALEZA;2303709
FORTALEZA;2304400
FORTALEZA;2309706
FORTALEZA;2301000
FORTALEZA;2307650
FORTALEZA;2306256
GOIANIA;5200050
GOIANIA;5201405
GOIANIA;5208707
GOIANIA;5208806
GOIANIA;5214507
GOIANIA;5220454
GOIANIA;5221403
ILHEUS - ITABUNA;2913606
ILHEUS - ITABUNA;2914802
IPATINGA;3158953
IPATINGA;3131307
IPATINGA;3131158
IPATINGA;3119401
IPATINGA;3168705
JOAO PESSOA;2503209
JOAO PESSOA;2501807
JOAO PESSOA;2504900
JOAO PESSOA;2507507
JOAO PESSOA;2513703
JOINVILLE;4217402
JOINVILLE;4201307
JOINVILLE;4205803
JOINVILLE;4206504
JOINVILLE;4209102
JOINVILLE;4208906
JUIZ DE FORA;3115904
JUIZ DE FORA;3140803
JUIZ DE FORA;3136702
JUNDIAI;3556503
JUNDIAI;3525904
JUNDIAI;3527306
JUNDIAI;3524006
JUNDIAI;3508405
JUNDIAI;3509601
LONDRINA;4122404
LONDRINA;4103701
LONDRINA;4109807
LONDRINA;4113700
MACAPA;1600303
MACAPA;1600600
MACEIO;2702207
MACEIO;2704302
MACEIO;2707701
MACEIO;2707909
MACEIO;2708907
MANAUS;1302603
MARINGA;4126256
MARINGA;4117503
MARINGA;4115200
MARINGA;4114203
MARINGA;4107900
MARINGA;4114807
NATAL;2412203
NATAL;2412005
NATAL;2408201
NATAL;2408102
NATAL;2407104
NATAL;2403608
NATAL;2403251
NOVO HAMBURGO - SAO LEOPOLDO;4306403
NOVO HAMBURGO - SAO LEOPOLDO;4300877
NOVO HAMBURGO - SAO LEOPOLDO;4304689
NOVO HAMBURGO - SAO LEOPOLDO;4307609
NOVO HAMBURGO - SAO LEOPOLDO;4303905
NOVO HAMBURGO - SAO LEOPOLDO;4310801
NOVO HAMBURGO - SAO LEOPOLDO;4319901
NOVO HAMBURGO - SAO LEOPOLDO;4318705
NOVO HAMBURGO - SAO LEOPOLDO;4314803
NOVO HAMBURGO - SAO LEOPOLDO;4313409
NOVO HAMBURGO - SAO LEOPOLDO;4312476
NOVO HAMBURGO - SAO LEOPOLDO;4311627
PELOTAS - RIO GRANDE;4315602
PELOTAS - RIO GRANDE;4314407
PETROLINA - JUAZEIRO;2918407
PETROLINA - JUAZEIRO;2611101
PORTO ALEGRE;4323002
PORTO ALEGRE;4320008
PORTO ALEGRE;4314902
PORTO ALEGRE;4313375
PORTO ALEGRE;4307708
PORTO ALEGRE;4306767
PORTO ALEGRE;4309308
PORTO ALEGRE;4309209
PORTO ALEGRE;4304606
PORTO ALEGRE;4303103
PORTO ALEGRE;4300604
RECIFE;2600054
RECIFE;2603454
RECIFE;2602902
RECIFE;2605202
RECIFE;2610707
RECIFE;2610608
RECIFE;2606804
RECIFE;2607604
RECIFE;2607752
RECIFE;2607901
RECIFE;2609402
RECIFE;2609600
RECIFE;2613701
RECIFE;2611606
RIBEIRAO PRETO;3551702
RIBEIRAO PRETO;3551504
RIBEIRAO PRETO;3525102
RIBEIRAO PRETO;3543402
RIO DE JANEIRO;3303302
RIO DE JANEIRO;3303500
RIO DE JANEIRO;3302601
RIO DE JANEIRO;3301850
RIO DE JANEIRO;3301900
RIO DE JANEIRO;3302007
RIO DE JANEIRO;3302270
RIO DE JANEIRO;3302502
RIO DE JANEIRO;3301702
RIO DE JANEIRO;3302700
RIO DE JANEIRO;3303203
RIO DE JANEIRO;3300456
RIO DE JANEIRO;3303609
RIO DE JANEIRO;3305109
RIO DE JANEIRO;3303906
RIO DE JANEIRO;3304904
RIO DE JANEIRO;3304144
RIO DE JANEIRO;3304557
RIO DE JANEIRO;3305554
SALVADOR;2929503
SALVADOR;2905701
SALVADOR;2906501
SALVADOR;2910057
SALVADOR;2916104
SALVADOR;2919207
SALVADOR;2929206
SALVADOR;2930709
SALVADOR;2919926
SALVADOR;2921005
SALVADOR;2927408
SANTOS;3531100
SANTOS;3551009
SANTOS;3518701
SANTOS;3548500
SANTOS;3506359
SANTOS;3541000
SANTOS;3522109
SANTOS;3513504
SAO JOSE DO RIO PRETO;3517505
SAO JOSE DO RIO PRETO;3530300
SAO JOSE DO RIO PRETO;3549805
SAO JOSE DO RIO PRETO;3511300
SAO JOSE DO RIO PRETO;3504602
SAO JOSE DOS CAMPOS;3508504
SAO JOSE DOS CAMPOS;3524402
SAO JOSE DOS CAMPOS;3538006
SAO JOSE DOS CAMPOS;3554805
SAO JOSE DOS CAMPOS;3554102
SAO JOSE DOS CAMPOS;3549904
SAO LUIS;2111300
SAO LUIS;2109452
SAO LUIS;2111201
SAO LUIS;2107506
SAO PAULO;3510609
SAO PAULO;3548708
SAO PAULO;3548807
SAO PAULO;3513009
SAO PAULO;3515004
SAO PAULO;3515103
SAO PAULO;3515707
SAO PAULO;3516309
SAO PAULO;3543303
SAO PAULO;3513801
SAO PAULO;3547304
SAO PAULO;3516408
SAO PAULO;3509205
SAO PAULO;3509007
SAO PAULO;3546801
SAO PAULO;3534401
SAO PAULO;3507100
SAO PAULO;3501152
SAO PAULO;3544103
SAO PAULO;3505708
SAO PAULO;3502754
SAO PAULO;3547809
SAO PAULO;3549953
SAO PAULO;3550605
SAO PAULO;3550308
SAO PAULO;3556453
SAO PAULO;3538600
SAO PAULO;3530607
SAO PAULO;3529401
SAO PAULO;3528502
SAO PAULO;3528403
SAO PAULO;3526209
SAO PAULO;3552809
SAO PAULO;3552502
SAO PAULO;3525003
SAO PAULO;3532009
SAO PAULO;3539103
SAO PAULO;3523404
SAO PAULO;3523107
SAO PAULO;3522505
SAO PAULO;3522208
SAO PAULO;3532405
SAO PAULO;3539806
SAO PAULO;3504107
SAO PAULO;3518800
SAO PAULO;3518305
SAO PAULO;3503901
SOROCABA;3540606
SOROCABA;3557006
SOROCABA;3545209
SOROCABA;3545308
SOROCABA;3507001
SOROCABA;3552205
SOROCABA;3521002
SOROCABA;3523909
SOROCABA;3502903
TERESINA;2211001
TERESINA;2203305
TERESINA;2112209
UBERLANDIA;3170206
VITORIA;3201308
VITORIA;3202405
VITORIA;3205200
VITORIA;3205101
VITORIA;3205309
VITORIA;3205002
VOLTA REDONDA - BARRA MANSA;3300308
VOLTA REDONDA - BARRA MANSA;3300407
VOLTA REDONDA - BARRA MANSA;3306305
VOLTA REDONDA - BARRA MANSA;3304003
VOLTA REDONDA - BARRA MANSA;3303955
