cod_mun;num_est
1200203;303
1200336;10
1200351;3
1200393;3
1200427;3
1200302;44
1200328;2
1200609;87
1200054;14
1200104;60
1200252;50
1200708;37
1200013;23
1200138;21
1200179;11
1200385;39
1200807;10
1200401;2357
1200450;59
1200344;4
1200435;2
1200500;89
1300086;2
1300102;2
1300631;2
1300839;4
1301209;62
1301308;9
1301902;200
1302009;5
1303106;12
1304005;4
1304401;6
1300300;4
1301100;15
1301159;3
1301852;79
1302504;116
1302553;4
1302603;9048
1300508;12
1300680;5
1302900;46
1303007;9
1303403;159
1303957;5
1304302;8
1303536;63
1303569;34
1300029;2
1304203;125
1304260;2
1302108;4
1302801;3
1300409;9
1303205;9
1303601;5
1303809;36
1300060;2
1300201;4
1300607;19
1301605;4
1302306;3
1303700;5
1303908;4
1304062;82
1304237;2
1301001;14
1301407;23
1301506;10
1301654;7
1301803;4
1301951;3
1302207;2
1300706;27
1303502;3
1300144;17
1300805;12
1301704;114
1302702;18
1303304;6
1300904;4
1302405;25
1304104;3
1600105;24
1600550;8
1600709;22
1600204;15
1600501;45
1600212;9
1600238;10
1600253;10
1600303;2010
1600154;6
1600535;27
1600600;290
1600055;10
1600279;82
1600402;29
1600808;9
1500503;159
1505908;20
1503002;10
1503903;7
1505106;99
1505304;190
1507979;10
1500404;38
1501451;10
1502855;2
1504802;61
1505650;7
1506005;12
1506807;1399
1502004;10
1502509;16
1504901;10
1505700;21
1506302;24
1506401;6
1507904;42
1500305;17
1500701;10
1501808;132
1502806;6
1507706;4
1501105;7
1503101;8
1504505;3
1505809;34
1500800;1579
1501303;272
1501402;10723
1501501;149
1504422;181
1506351;24
1501907;18
1502400;1026
1503408;17
1506500;272
1507003;81
1500909;14
1501600;7
1501709;182
1502202;247
1503200;78
1505007;23
1505601;14
1506104;9
1506112;7
1506609;48
1506906;6
1507409;45
1508035;10
1500107;281
1501204;23
1502103;71
1503309;48
1504000;4
1504604;15
1505205;4
1500958;11
1501956;3
1502301;65
1503077;9
1503457;23
1503507;35
1504059;52
1504950;7
1505403;16
1506559;17
1507201;29
1507607;136
1508308;18
1502608;5
1502905;29
1504109;5
1504307;14
1504406;23
1506203;153
1507102;8
1507466;2
1507474;12
1507961;10
1508209;73
1500206;41
1502756;31
1504703;69
1507953;152
1508001;237
1502707;208
1503044;12
1506583;35
1506708;135
1501758;14
1504208;1003
1505494;4
1507151;20
1507508;6
1500131;21
1501576;39
1502939;152
1503093;79
1505502;578
1506187;240
1508126;102
1500347;41
1502152;26
1502772;43
1502954;25
1505536;422
1505551;22
1505635;32
1506138;435
1506161;68
1507458;70
1507755;18
1508407;222
1501253;24
1502764;41
1505437;41
1507300;97
1508084;104
1501782;83
1503705;52
1503804;149
1504976;18
1505064;70
1508100;369
1500602;600
1500859;18
1501725;17
1504455;34
1505486;12
1507805;29
1508159;90
1508357;15
1501006;2
1503606;356
1503754;7
1505031;125
1506195;34
1508050;23
1100346;107
1100148;85
1100320;104
1101500;30
1100403;58
1100023;1013
1100601;25
1100130;111
1101401;72
1100262;22
1101757;12
1100015;192
1100379;44
1100049;961
1100908;15
1100098;271
1101203;34
1100502;23
1100288;520
1100296;64
1100031;42
1100056;185
1100064;196
1100072;40
1101468;8
1101005;9
1100114;466
1100122;1483
1101302;79
1101435;23
1100155;384
1100254;182
1101559;12
1101609;33
1101708;44
1101807;27
1100924;54
1101450;12
1100189;556
1101476;15
1101484;18
1100304;964
1100080;54
1100106;274
1101492;69
1100452;130
1100700;24
1100809;49
1100940;24
1101104;27
1100338;51
1100205;3581
1400050;10
1400027;1
1400100;1612
1400456;23
1400159;5
1400175;10
1400407;3
1400209;27
1400282;3
1400308;24
1400233;3
1400472;23
1400506;15
1400605;12
1701309;22
1702109;1380
1702158;16
1702307;91
1703008;23
1703057;14
1703883;17
1705508;250
1707702;19
1713957;13
1714880;26
1715705;8
1716307;9
1717206;21
1718865;42
1722081;39
1722107;63
1700301;11
1701002;48
1701051;6
1702208;93
1702554;41
1702901;19
1703800;5
1703826;2
1703891;2
1706506;13
1707405;3
1710706;3
1712454;6
1712801;4
1714302;14
1713809;8
1718303;3
1718550;6
1718808;4
1720002;3
1720101;3
1720200;6
1720309;3
1720804;10
1721208;111
1700350;54
1700707;143
1703701;51
1703867;31
1706258;7
1707652;70
1709500;1003
1711506;24
1715754;66
1716604;90
1718899;6
1720259;9
1720853;18
1720978;32
1700251;12
1701903;27
1703107;37
1703206;21
1703602;4
1703909;21
1716703;45
1706001;13
1707108;52
1707207;44
1708254;19
1708304;7
1709302;213
1711100;15
1711803;4
1712504;39
1713205;241
1713304;125
1713700;11
1716653;20
1718402;18
1718709;14
1721257;4
1721307;4
1702000;111
1704600;5
1706100;81
1707306;56
1707553;21
1708205;142
1711902;63
1715002;13
1715507;6
1716109;530
1717503;72
1718451;7
1718840;23
1700400;25
1702406;36
1702703;6
1705102;5
1705557;9
1705607;12
1707009;131
1712157;1
1714203;48
1715150;5
1715259;5
1716208;21
1717008;6
1717800;3
1718006;3
1718659;4
1718907;12
1720499;22
1720903;37
1720937;2
1703073;3
1703842;20
1704105;2
1709005;15
1710508;9
1710904;5
1711951;3
1712405;5
1712702;2
1715101;8
1717909;18
1718501;2
1718758;6
1719004;7
1720150;3
1701101;11
1703305;3
1709807;6
1712009;27
1713601;43
1721000;2214
1716505;123
1718204;499
1718881;4
1720655;16
1721109;14
2700300;1192
2701506;15
2702009;6
2702355;14
2702603;16
2702900;22
2704104;13
2704203;20
2708808;48
2709103;27
2700805;7
2701209;15
2702553;6
2703106;15
2704906;9
2704807;28
2705309;3
2706307;314
2706604;16
2707602;20
2709004;3
2705903;3
2708204;3
2709202;18
2703601;22
2704500;83
2706505;26
2707404;17
2708709;16
2700508;18
2700607;42
2702207;9
2704302;8617
2704708;175
2706448;34
2706901;115
2707701;227
2707909;11
2708907;31
2700409;97
2701100;12
2701308;34
2701357;8
2701704;56
2702108;31
2702801;32
2703502;14
2703809;21
2703908;8
2705101;43
2705200;32
2705507;70
2705606;22
2707305;96
2708501;77
2702702;6
2703205;27
2706703;271
2706802;23
2707503;18
2700201;52
2701001;58
2701407;41
2702306;169
2703759;6
2704005;36
2707800;9
2708600;258
2709152;48
2701902;13
2703007;19
2707008;5
2708105;12
2708303;44
2709301;229
2709400;84
2702405;179
2705804;4
2707107;32
2700706;39
2700904;3
2703403;5
2703700;6
2704401;23
2705408;6
2705705;54
2706000;6
2701803;5
2702504;6
2704609;7
2706109;8
2706208;2
2706406;47
2707206;4
2708006;131
2708402;12
2708956;5
2700102;22
2701605;9
2703304;9
2705002;22
2706422;4
2900405;23
2901106;108
2901502;18
2901700;19
2908200;85
2908903;78
2910305;18
2910800;5851
2913804;11
2914000;190
2914505;80
2916856;34
2923308;15
2924108;13
2924652;17
2925956;53
2927507;41
2928505;19
2928307;12
2928802;141
2929305;137
2930402;35
2931103;33
2931400;39
2901155;11
2903003;16
2903235;10
2905305;7
2906204;15
2907608;17
2911303;6
2912400;11
2913101;16
2914406;22
2914604;580
2918357;27
2918506;8
2919157;25
2922052;6
2925600;14
2929255;18
2930808;4
2932408;11
2902609;38
2903805;46
2911907;93
2912608;12
2914703;400
2919009;10
2919603;12
2920106;61
2922102;58
2927200;119
2931301;17
2933059;20
2905107;12
2905503;12
2906873;120
2917508;644
2921203;107
2921401;12
2921708;75
2923357;38
2924801;47
2925253;10
2925931;6
2929370;15
2929800;32
2930600;21
2933109;21
2933158;17
2901353;24
2901809;17
2906006;219
2910859;26
2917003;61
2917706;119
2924603;20
2930105;576
2932457;3
2904100;52
2904209;21
2904506;20
2907558;5
2912509;19
2913002;15
2914109;24
2919801;95
2923035;6
2923209;31
2931053;25
2902005;23
2904605;617
2906899;17
2908705;31
2909000;5
2911659;2
2917201;34
2919959;7
2920304;20
2924702;9
2925709;11
2926806;19
2931004;69
2931806;25
2905008;122
2905206;246
2906600;25
2911709;666
2912004;38
2913408;25
2917334;27
2917409;12
2918753;12
2919405;43
2920205;27
2921054;4
2921807;17
2923407;54
2924504;17
2926400;57
2930006;16
2932606;53
2910404;111
2915809;161
2916401;777
2916807;135
2917102;178
2919702;122
2920007;64
2925402;65
2926657;60
2900603;22
2901007;231
2901957;15
2904308;67
2909505;14
2914208;11
2914307;29
2915106;59
2916708;25
2916906;39
2917607;236
2918001;1455
2918209;31
2918308;78
2918704;22
2918803;62
2919058;12
2920502;84
2920809;25
2921302;44
2922409;99
2922805;11
2924900;9
2927903;28
2929404;21
2932101;83
2910107;34
2900504;8
2919504;314
2923605;99
2926905;15
2900108;6
2901304;18
2902807;107
2904001;22
2904050;34
2908804;8
2912202;44
2915007;19
2918605;7
2919306;30
2921906;30
2922854;3
2923506;23
2924306;16
2926707;32
2929909;154
2932804;41
2933406;12
2901205;56
2902906;209
2903508;27
2903706;31
2903953;5
2904803;46
2905156;8
2906709;50
2910008;31
2912301;104
2913507;99
2920403;28
2921450;9
2922706;84
2925006;95
2925105;159
2933307;3364
2902500;15
2903201;1484
2907400;8
2911105;76
2919553;342
2926202;46
2928901;205
2901403;16
2904407;8
2909406;15
2909703;7
2920452;5
2928406;27
2930907;9
2933455;21
2906105;9
2908101;23
2909109;16
2909307;147
2917359;20
2928109;159
2928208;93
2929057;46
2930303;27
2907509;277
2908507;231
2915908;15
2921005;264
2925204;203
2929503;221
2931707;34
2905701;1735
2906501;487
2910057;446
2916104;83
2919207;2275
2919926;77
2927408;30602
2929206;100
2930709;941
2933208;209
2902302;32
2904852;34
2904902;184
2907301;146
2908309;91
2909802;554
2910206;12
2911600;95
2917805;28
2920601;78
2922201;26
2922300;144
2922508;192
2927309;23
2928604;352
2928703;1005
2929107;85
2929008;48
2929602;66
2929750;20
2933174;20
2900306;36
2900702;1041
2901908;15
2902054;34
2902203;25
2903276;20
2909604;23
2913705;85
2927002;110
2929701;23
2907004;18
2908606;63
2910503;210
2910602;155
2917904;24
2906808;57
2906824;16
2910701;148
2921500;41
2922656;9
2925808;73
2925907;17
2931905;69
2932002;42
2909208;7
2918100;79
2924207;6
2927606;12
2930766;4
2900355;9
2901601;22
2902658;9
2907806;101
2907905;31
2910750;10
2911857;9
2916500;33
2922904;22
2923050;4
2923100;42
2923803;46
2926509;8
2926608;226
2902104;69
2903607;25
2906402;12
2906857;18
2908408;239
2911253;5
2913309;10
2919108;10
2922730;14
2924058;22
2926103;32
2926301;184
2928000;104
2928950;26
2930501;455
2931509;53
2933000;103
2900900;45
2902252;60
2902401;40
2903102;55
2903409;118
2904704;136
2905602;294
2906303;218
2908002;234
2910909;28
2911006;62
2911204;271
2911501;32
2903300;40
2912103;231
2912707;53
2912905;120
2913606;2208
2913903;491
2914802;3112
2914901;162
2915205;110
2915403;59
2915502;175
2915700;28
2916203;74
2916302;74
2916609;53
2918555;48
2920908;77
2922755;28
2923902;40
2927804;41
2928059;72
2929354;21
2931608;34
2932200;191
2932309;114
2932507;195
2932705;128
2933505;57
2900801;122
2906907;188
2910727;1068
2911808;100
2912806;95
2914653;196
2915304;48
2915601;785
2916005;99
2918456;29
2918902;39
2921104;178
2922003;349
2923001;263
2925303;1342
2925501;272
2927705;139
2931350;1261
2933257;43
2905404;93
2905800;122
2913457;22
2917300;177
2920700;70
2922607;27
2924678;17
2925758;52
2931202;64
2932903;651
2902708;88
2904753;7
2913200;123
2915353;6
2921609;3
2922250;15
2933604;150
2903904;363
2907103;31
2910776;8
2923704;28
2930154;34
2930758;17
2905909;14
2907202;117
2909901;49
2918407;1406
2924405;19
2926004;141
2930204;40
2930774;53
2900207;10
2907707;8
2911402;18
2919900;8
2924009;693
2927101;5
2303808;58
2305407;182
2305506;681
2309508;52
2311355;12
2301802;6
2305704;21
2307502;47
2313708;3
2300804;13
2303303;20
2307403;29
2313252;4
2314003;93
2300705;31
2305332;8
2307007;81
2307601;307
2308708;153
2310001;19
2311504;51
2311801;318
2312502;25
2313104;113
2301109;361
2304459;25
2305357;50
2306207;21
2306702;11
2306801;23
2306900;112
2304277;6
2306009;26
2310803;18
2311231;5
2301000;244
2303709;850
2304285;362
2304400;27274
2304954;33
2306256;59
2307650;795
2307700;272
2309706;105
2305233;143
2309607;181
2304004;25
2304509;30
2308807;3
2313906;10
2303402;17
2304236;7
2305001;88
2305308;42
2312304;104
2313401;220
2313609;70
2314102;44
2305803;119
2305902;43
2310951;2
2311009;9
2311702;25
2313955;31
2300200;55
2302057;10
2302305;17
2302602;259
2303907;18
2304251;17
2304707;49
2306553;25
2307254;51
2307809;39
2307908;7
2308906;17
2300507;3
2308203;17
2303659;9
2305209;24
2312205;89
2303105;11
2304350;26
2304657;5
2304905;14
2306108;17
2308005;34
2308377;5
2309003;13
2309904;7
2312007;32
2312809;4
2312908;1319
2310209;91
2310258;48
2312403;85
2300150;44
2301208;41
2301406;12
2302107;161
2302909;17
2305100;18
2306504;19
2309102;23
2309805;36
2310100;16
2311603;89
2302800;172
2303006;17
2306603;9
2310407;11
2302206;85
2303501;192
2310852;40
2301950;36
2303956;27
2309458;39
2300754;15
2306405;229
2313500;37
2300903;13
2304608;5
2310704;55
2312601;10
2313351;9
2306306;137
2313559;13
2313757;10
2313807;28
2301257;10
2304103;324
2305605;47
2305654;12
2308609;17
2309300;97
2309409;23
2311264;11
2313203;21
2300408;6
2301505;4
2303600;4
2310308;15
2311900;5
2313302;112
2301851;24
2302404;105
2303931;11
2305266;13
2307635;34
2311306;368
2311405;192
2300309;104
2304269;8
2308351;18
2308500;44
2310506;24
2310902;11
2312700;91
2313005;25
2301703;45
2302008;52
2308104;50
2300101;7
2302503;213
2307205;11
2308302;79
2310605;7
2301901;221
2304202;824
2307106;45
2307304;1995
2308401;51
2309201;42
2311108;20
2312106;39
2300606;10
2303204;22
2304301;24
2304806;3
2301307;26
2301604;34
2302701;57
2311207;31
2311959;4
2100956;12
2101608;167
2104081;1
2104099;3
2104800;134
2105351;1
2105476;2
2105609;4
2109759;21
2111805;7
2112308;86
2101202;437
2101939;2
2102077;3
2104008;17
2105203;34
2105807;9
2105948;3
2105906;8
2106003;13
2107407;20
2108207;228
2108702;18
2108900;15
2110302;10
2111409;23
2111508;42
2111631;1
2111722;2
2112233;42
2103802;43
2104206;7
2104404;5
2104503;6
2104602;7
2104628;1
2104701;3
2109106;151
2110708;24
2111250;3
2111748;1
2100154;4
2100907;24
2106300;8
2110104;7
2110237;1
2110609;23
2102309;18
2103000;457
2106607;13
2107803;15
2111078;4
2112209;338
2101509;24
2103505;45
2105922;3
2106706;16
2107308;3
2107704;14
2107902;11
2108009;12
2110906;11
2111102;90
2111904;4
2111953;2
2100808;10
2101731;2
2102101;45
2102200;9
2103208;126
2106409;8
2106672;2
2110401;3
2112605;15
2100436;15
2102754;5
2103307;235
2103604;67
2108454;22
2112100;19
2100105;3
2100303;15
2103406;78
2103901;6
2107506;141
2109452;28
2111201;234
2111300;7953
2100709;10
2101004;20
2101772;4
2102507;3
2103554;3
2105153;1
2106508;14
2106904;6
2107456;1
2107605;5
2108256;1
2108306;8
2108405;3
2108603;164
2109270;1
2109809;16
2110500;32
2111003;7
2111706;14
2112803;76
2112902;37
2102705;10
2105401;95
2106631;3
2106755;22
2107209;3
2108801;3
2109304;7
2112704;32
2101707;34
2105005;6
2109403;3
2110278;2
2112506;31
2100204;12
2101301;4
2101350;2
2101905;10
2102408;3
2103109;6
2103125;2
2103703;27
2104909;7
2106805;8
2109056;2
2111789;1
2101103;8
2101251;18
2102374;2
2105104;6
2107100;8
2109205;4
2109601;81
2110203;25
2100550;1
2101970;1
2102606;3
2102903;35
2103158;1
2103174;2
2104305;4
2104677;6
2106201;3
2106326;14
2106375;1
2112407;7
2112456;2
2100055;523
2100600;25
2102358;6
2103257;14
2103752;12
2104552;21
2105302;1973
2105427;69
2105500;30
2105989;4
2107001;11
2109551;14
2110856;6
2111532;13
2111763;8
2112852;5
2100402;10
2100477;5
2100873;1
2102002;31
2102036;16
2102325;67
2104651;2
2105708;58
2105963;1
2107357;4
2108108;9
2108504;34
2109239;3
2109908;454
2110005;59
2110039;17
2112274;1
2113009;48
2114007;77
2101806;6
2104107;14
2106102;16
2107258;2
2109700;20
2110658;11
2110807;2
2111607;42
2100501;14
2101400;502
2104073;2
2109502;55
2112001;27
2102556;11
2102804;74
2104057;88
2109007;65
2111052;11
2111573;1
2500304;83
2500403;39
2501104;86
2501500;33
2502706;9
2509339;2
2511608;9
2515906;10
2502151;24
2504009;3796
2506103;9
2508307;63
2509206;19
2512408;33
2512507;90
2515807;8
2500577;3
2500908;17
2501609;17
2505105;52
2505352;3
2510105;19
2510501;5
2512002;36
2512705;41
2516102;45
2516151;3
2501005;37
2503506;20
2516409;10
2504157;4
2505709;9
2512747;5
2516003;75
2501203;10
2506004;134
2509503;7
2515104;11
2500502;33
2500809;20
2501906;25
2503605;13
2505204;14
2505808;9
2506301;426
2508208;6
2508554;6
2509800;25
2511707;4
2511806;26
2515609;4
2515930;5
2503803;9
2506400;26
2506806;36
2506905;110
2507200;20
2507606;11
2509404;24
2512754;4
2513109;12
2501302;21
2509909;15
2513158;2
2517001;11
2500734;3
2501351;8
2503902;6
2504702;6
2504850;3
2508505;9
2509701;99
2510600;8
2510659;5
2512200;5
2514107;2
2514800;3
2515203;1
2515500;42
2516300;80
2516508;33
2517407;2
2500536;6
2501575;4
2501708;6
2502508;43
2503100;17
2504074;4
2504355;9
2506509;8
2512788;2
2513851;4
2513943;2
2514008;13
2507804;15
2513000;6
2513406;69
2514701;10
2514909;26
2517100;10
2501534;6
2505006;8
2506202;5
2507705;33
2510303;11
2511103;19
2511400;52
2515401;7
2516755;5
2501807;322
2503209;663
2504603;89
2507507;8762
2508604;40
2513703;402
2501401;16
2504033;3
2505238;6
2505279;4
2507101;18
2507309;27
2508901;203
2509057;6
2509305;21
2512721;2
2512903;75
2500601;69
2503001;56
2511202;76
2511905;29
2504900;29
2507903;17
2509107;32
2511509;37
2512762;3
2514453;4
2515005;10
2515302;168
2515971;5
2502052;3
2502201;4
2502409;20
2503308;13
2503704;478
2504108;2
2509602;6
2512036;3
2512077;1
2513307;11
2513653;2
2500700;42
2514503;36
2516805;7
2516904;43
2502003;11
2502300;7
2502805;19
2502904;8
2504306;131
2507408;9
2508109;7
2509370;1
2512804;7
2513901;90
2514651;1
2502102;5
2504405;35
2505303;3
2505600;10
2506608;8
2507002;65
2511004;4
2513356;5
2513505;3
2514305;2
2515708;2
2501153;1
2503407;4
2508703;3
2510709;3
2510808;698
2512606;2
2513802;10
2514404;6
2514602;3
2500205;6
2504207;7
2504801;26
2505907;5
2502607;6
2510204;3
2510402;8
2511301;45
2513604;7
2500106;6
2503555;3
2505402;15
2506707;5
2508000;7
2509008;5
2509396;5
2512309;48
2514552;1
2516607;14
2516706;32
2500775;9
2503753;4
2504504;9
2508406;4
2508802;9
2509156;6
2510006;7
2510907;14
2512101;156
2513208;16
2513927;2
2513968;3
2513984;7
2514206;11
2516201;458
2517209;4
2505501;4
2604155;7
2605806;15
2612505;424
2612703;16
2614501;304
2615003;79
2615409;123
2616209;35
2616183;15
2600302;46
2600807;35
2601300;25
2602308;93
2603504;41
2605004;64
2606705;4
2608701;18
2610202;19
2612000;24
2613305;26
2601003;21
2602100;108
2602407;23
2603207;16
2603306;9
2603702;49
2604700;32
2606002;1003
2606507;14
2608255;6
2608305;28
2608404;12
2608602;11
2608800;158
2610103;12
2610301;10
2612307;18
2613206;17
2615102;5
2602209;71
2604908;15
2605400;46
2608107;82
2608909;459
2609105;29
2609709;31
2610509;65
2612109;9
2613800;55
2600500;53
2602803;50
2607505;18
2610806;28
2615805;10
2616001;30
2600609;23
2601706;318
2601904;230
2602605;56
2603108;51
2603801;25
2604106;2790
2606408;508
2608008;12
2610905;366
2611200;40
2611705;31
2612406;47
2613008;106
2613107;64
2614709;23
2600401;88
2600906;56
2601409;247
2601508;14
2604205;96
2604809;25
2605202;274
2605905;49
2607950;22
2608206;24
2609204;31
2610004;375
2611408;19
2611507;35
2611804;180
2611903;78
2612901;18
2613404;71
2614204;73
2614857;92
2616506;27
2600708;140
2602704;30
2603603;18
2604007;547
2604601;53
2605509;45
2606200;433
2607653;162
2607802;43
2608453;52
2608503;47
2609006;97
2609501;187
2610608;218
2615300;395
2615508;35
2616308;104
2604403;18
2604502;59
2606101;63
2611309;95
2616407;706
2605459;120
2601052;19
2606804;406
2607604;91
2607752;61
2600054;345
2603454;600
2607901;3358
2609402;190
2609600;2576
2610707;1269
2611606;23217
2613701;296
2602902;773
2607208;467
2601607;58
2603926;2
2605707;46
2607406;3
2608057;37
2611002;125
2614808;21
2600203;41
2603009;98
2605152;22
2608750;73
2609808;12
2611101;2357
2612604;113
2615201;5
2601102;322
2602001;44
2605301;22
2606309;24
2607307;51
2614303;6
2609907;174
2612455;9
2612554;4
2615607;103
2600104;203
2602506;8
2603405;7
2603900;16
2605608;19
2606903;23
2607109;4
2607703;16
2611533;2
2612471;13
2612802;17
2613602;138
2613909;484
2614402;5
2614600;102
2615706;46
2615904;32
2604304;11
2609303;14
2610400;25
2612208;324
2613503;56
2614006;17
2616100;8
2601201;555
2601805;10
2605103;73
2606606;41
2607000;29
2609154;7
2614105;87
2200301;13
2201051;1
2201945;2
2202026;5
2202208;243
2202406;12
2202604;36
2202711;2
2203420;4
2205276;2
2205516;2
2205573;2
2206357;1
2206753;2
2206951;3
2207793;1
2207900;57
2209906;4
2210409;9
2210656;2
2200103;6
2200202;51
2200509;25
2200608;20
2201002;4
2201408;8
2204105;3
2204600;4
2205250;3
2205540;3
2207108;2
2207504;11
2207751;2
2208809;25
2209450;1
2209807;5
2210508;8
2200400;66
2201606;13
2202737;3
2203255;1
2203305;21
2205508;56
2205557;5
2205581;7
2206308;5
2206407;13
2211001;7390
2211100;63
2200905;6
2201176;1
2203503;31
2204006;4
2204709;16
2205599;2
2206902;7
2208106;11
2208601;3
2209153;3
2209609;5
2210383;1
2211308;76
2211407;6
2201200;83
2201507;21
2201770;1
2201960;4
2202059;3
2202174;2
2203701;87
2205409;8
2205458;1
2205805;28
2205854;1
2206100;7
2206209;22
2206670;2
2206803;2
2208403;218
2208502;3
2209971;1
2201919;3
2202000;27
2202083;12
2202539;2
2202653;1
2202703;14
2202729;1
2204659;8
2205706;79
2206696;1
2207702;1058
2208304;68
2209872;2
2210052;1
2200053;2
2201556;3
2201572;1
2201739;2
2202091;1
2202109;4
2202117;1
2202133;3
2202455;1
2202554;2
2202802;5
2203271;1
2203859;1
2204154;1
2204303;16
2204907;6
2205003;6
2205151;2
2205201;24
2205359;1
2205565;3
2205953;4
2206050;2
2207959;2
2207207;12
2207306;3
2207777;3
2207801;48
2207934;1
2208650;5
2209500;3
2209658;1
2210003;62
2210706;9
2210805;30
2210904;3
2211506;1
2211605;1
2201804;3
2202075;2
2202778;3
2203404;12
2204352;3
2204808;7
2207009;133
2207553;1
2208007;649
2209104;10
2209377;4
2209351;4
2209856;2
2209955;1
2210201;5
2210375;1
2210938;4
